date,deduc_type_rel_gross_43
2018Q4,0.592179868
2019Q1,0.672148691
2019Q2,0.641032775
2019Q3,0.716840531
2019Q4,0.724540057
2020Q1,0.02065652
2021Q1,0.011330772
2012Q2,0.002747124
2016Q2,0.106829634
2016Q3,0.540972369
2017Q3,0.631143637
2018Q3,0.545215939
2018Q4,0.114516785
2019Q3,0.852227892
2014Q2,0.598687944
2014Q3,0.94143329
2014Q4,0.641741644
2015Q1,0.696366379
2015Q2,0.739470979
2015Q3,0.71622274
2015Q4,0.749878607
2016Q1,0.654037717
2016Q2,0.450020994
2016Q3,0.61742516
2016Q4,0.705706619
2017Q1,0.434152197
2017Q2,0.631003417
2017Q3,0.774132522
2017Q4,0.704593294
2018Q1,0.917250904
2018Q2,0.505577549
2018Q3,0.753570073
2018Q4,0.843324232
2019Q1,0.843585701
2019Q2,0.536124328
2019Q3,0.829187635
2019Q4,0.931282651
2020Q3,0.555594025
2020Q4,0.965129277
2021Q1,0.660207278
2021Q2,0.249339173
2021Q3,0.238210938
2021Q4,0.155438479
2022Q2,0.377794126
2022Q3,0.579129714
2012Q1,0.699423367
2013Q3,0.717174727
2014Q1,0.71906094
2022Q2,0.788360223
2020Q1,0.480217392
2020Q2,0.467562112
2020Q3,0.681098349
2020Q4,0.337724032
2021Q1,0.452517437
2021Q3,0.721307146
2021Q4,0.407539023
2022Q1,0.511456539
2022Q2,0.505567376
2022Q3,0.632216018
2017Q1,0.415716149
2017Q2,0.519228432
2017Q3,0.347524909
2017Q4,0.390912355
2018Q1,0.413479255
2018Q2,0.564252609
2018Q3,0.389155065
2018Q4,0.445428588
2019Q1,0.4773895
2019Q2,0.617423302
2019Q3,0.347423999
2019Q4,0.33168734
2020Q1,0.373678432
2020Q2,0.375330571
2020Q3,0.344590978
2020Q4,0.31761294
2021Q1,0.384483074
2021Q2,0.362108025
2021Q3,0.506599942
2021Q4,0.412683323
2022Q1,0.368721217
2022Q2,0.396514292
2022Q3,0.17201845
2008Q3,0.320134209
2012Q1,0.267679586
2012Q2,0.245956306
2012Q3,0.196725545
2012Q4,0.24973732
2013Q1,0.263530093
2013Q2,0.42718251
2013Q3,0.382458651
2013Q4,0.279878002
2014Q1,0.327939256
2014Q2,0.290376456
2014Q3,0.232855192
2014Q4,0.325339519
2015Q1,0.418228814
2015Q2,0.396760813
2015Q3,0.37013726
2015Q4,0.355928166
2016Q1,0.23334093
2016Q2,0.169054424
2016Q3,0.458414191
2016Q4,0.331067066
2017Q1,0.33864665
2017Q2,0.182591285
2017Q3,0.33543003
2017Q4,0.376152364
2018Q1,0.107704018
2018Q2,0.210032848
2018Q3,0.577425034
2018Q4,0.750196627
2019Q1,0.397103378
2019Q2,0.117956065
2019Q3,0.316420858
2019Q4,0.398318812
2020Q1,0.137262461
2020Q2,0.178539352
2020Q3,0.387795691
2016Q3,0.389385785
2016Q4,0.404391308
2017Q1,0.397215008
2017Q2,0.423141031
2017Q3,0.449189741
2017Q4,0.433884467
2018Q1,0.397665188
2018Q3,0.415121388
2019Q2,0.268469458
2019Q4,0.355715306
2020Q1,0.36392798
2020Q2,0.386087602
2020Q3,0.334573365
2020Q4,0.383712826
2021Q1,0.411625116
2021Q4,0.348374971
2022Q1,0.44506995
2022Q2,0.424481409
2019Q4,0.037099639
2022Q3,0.150262366
2011Q3,0.336837354
2011Q4,0.389609269
2013Q3,1
2018Q1,0.11493559
2018Q2,0.062081107
2018Q3,0.132935311
2018Q4,0.178617649
2019Q1,0.146529311
2019Q2,0.069327484
2019Q3,0.130561972
2019Q4,0.035118366
2020Q1,0.175217642
2020Q2,0.083366546
2020Q3,0.201301611
2020Q4,0.316593041
2021Q1,0.18156863
2021Q2,0.202918228
2021Q3,0.117854903
2021Q4,0.17318746
2022Q1,0.135797175
2022Q2,0.180120097
2022Q3,0.185478111
2021Q3,0.137980751
2022Q1,0.080325339
2022Q2,0.109656363
2022Q3,0.188092941
2011Q1,0.204379465
2011Q2,0.222523842
2011Q3,0.217429681
2011Q4,0.24254263
2012Q1,0.291865579
2012Q2,0.302018066
2012Q3,0.246363823
2012Q4,0.221122549
2013Q2,0.241535521
2013Q4,0.297385203
2014Q1,0.25593717
2014Q2,0.276064678
2014Q3,0.289169859
2014Q4,0.373377506
2015Q1,0.703415687
2015Q2,0.502129351
2015Q3,0.501658545
2015Q4,0.368942453
2016Q1,0.208305134
2016Q2,0.360041555
2016Q3,0.328703848
2011Q1,0.421037062
2011Q2,0.466793659
2011Q3,0.466571706
2011Q4,0.477370334
2012Q1,0.428030941
2012Q2,0.438020918
2012Q3,0.433582169
2012Q4,0.689493414
2013Q1,0.395438838
2013Q2,0.428489866
2013Q3,0.412433665
2013Q4,0.38499823
2014Q1,0.376770298
2014Q2,0.379796228
2014Q3,0.363611889
2014Q4,0.363949671
2015Q1,0.404914608
2015Q2,0.335962564
2015Q3,0.578841448
2015Q4,0.120415741
2016Q1,0.136561705
2016Q2,0.125535679
2016Q3,0.13342033
2021Q1,0.614705962
2021Q2,0.641112366
2022Q1,0.018800111
2022Q2,0.220855698
2018Q2,0.703864331
2018Q4,0.730357316
2019Q1,0.703512501
2019Q2,0.695389773
2019Q3,0.704427473
2019Q4,0.696466645
2020Q1,0.691231644
2020Q2,0.69913291
2020Q3,0.695527251
2020Q4,0.700861991
2021Q1,0.701597823
2021Q2,0.743507644
2021Q3,0.68598186
2021Q4,0.70189893
2022Q1,0.691103705
2022Q2,0.705098759
2022Q3,0.731920101
2008Q1,0.183955726
2013Q3,0.03542961
2018Q1,0.044880141
2009Q4,0.130817733
2010Q1,0.290777534
2010Q2,0.347884125
2010Q3,0.32110132
2010Q4,0.205580049
2011Q1,0.137791065
2011Q2,0.2587667
2011Q3,0.471420641
2011Q4,0.429106586
2012Q1,0.225191526
2012Q2,0.22375269
2012Q3,0.424371868
2012Q4,0.150069234
2013Q1,0.267940292
2013Q2,0.163285308
2013Q3,0.246150235
2013Q4,0.219632438
2014Q1,0.247830013
2014Q2,0.290663787
2014Q3,0.454170981
2014Q4,0.265667347
2015Q1,0.204095063
